"","Cytophagales_2582580519","Flavobacteriales_2582580526","Flavobacteriales_2582580527","Sphingobacteriales_2582580532","Sphingobacteriales_2582580533","Sphingobacteriales_2582580535","Sphingobacteriales_2582580541","Flavobacteriales_2582580543","Sphingobacteriales_2582580548","Flavobacteriales_2582580549","Sphingobacteriales_2582580563","Flavobacteriales_2582580568","Sphingobacteriia_2582580571","Flavobacteriales_2582580580","Bacteroidetes_2582580582","Sphingobacteriia_2582580583","Sphingobacteriales_2582580585","Bacteroidetes_2582580586","Sphingobacteriales_2582580587","Sphingobacteriales_2582580588","Sphingobacteriales_2582580589","Sphingobacteriales_2582580590","Flavobacteriales_2582580592","Sphingobacteriales_2582580596","Flavobacteriales_2582580597","Bacteroidetes_2582580599","Sphingobacteriales_2582580601","Flavobacteriales_2582580602","Cytophagales_2582580603","Sphingobacteriales_2582580605","Sphingobacteriales_2582580610","Bacteroidetes_2582580613","Sphingobacteriales_2582580614"
"COG5609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"COG5611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5642",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"COG5646",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,1,1,1,1,0,0,0,1
"COG5649",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5652",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"COG5653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5654",0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0
"COG5658",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"COG5659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG5663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00004",3,5,6,5,3,4,4,4,6,6,5,3,6,8,4,7,3,2,5,4,4,1,6,4,3,6,5,2,6,5,4,6,4
"pfam00005",17,16,23,22,17,20,15,18,24,27,19,25,19,16,19,18,19,23,15,23,27,10,28,23,20,29,29,17,43,21,21,19,25
"pfam00006",5,3,3,2,2,3,2,4,2,2,2,3,3,3,2,2,2,3,3,3,3,2,2,3,3,3,2,1,3,3,2,3,4
"pfam00009",5,7,7,4,6,5,6,3,6,6,6,6,6,2,6,6,3,6,4,6,6,3,5,4,3,7,6,6,6,6,9,6,6
"pfam00011",0,1,1,1,2,0,1,0,2,0,0,3,0,0,0,1,0,0,0,1,1,1,1,1,0,1,2,0,1,1,0,0,1
"pfam00012",1,1,2,1,0,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,0,1,2,0,1,0,0,1,1,1,1,2
"pfam00013",2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,0,1,3,2,1,3,2,1,1,2,1,2,2,3,2,2
"pfam00014",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"pfam00015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00027",3,3,7,3,3,2,3,1,4,3,1,2,1,0,0,2,1,1,1,2,5,0,4,1,1,8,4,0,11,3,2,1,3
"pfam00028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00034",7,5,2,5,9,5,7,2,3,2,2,2,1,2,2,3,4,1,1,4,3,4,2,3,1,7,4,0,3,4,0,1,1
"pfam00035",2,1,1,2,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,2,1
"pfam00036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"pfam00041",0,1,3,0,0,0,0,0,18,7,0,0,0,0,0,0,1,0,0,6,0,0,4,0,0,0,1,0,1,0,0,0,1
"pfam00042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00044",0,2,2,1,0,0,1,3,1,3,2,3,1,0,1,1,0,3,2,1,0,0,3,1,2,2,1,0,2,1,3,1,1
"pfam00050",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"pfam00052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00056",1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1
"pfam00059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"pfam00060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00067",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"pfam00069",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"pfam00071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00072",7,29,12,14,15,12,11,15,21,23,11,28,5,5,4,16,17,24,5,24,20,6,22,12,19,32,23,8,37,18,5,24,15
"pfam00075",0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,2,1,1,1,2
"pfam00076",0,1,0,1,5,3,3,1,0,2,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,5,1,2,3,0,2,3
"pfam00078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"pfam00079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00080",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00081",2,2,2,2,1,2,2,2,1,2,2,1,1,1,0,1,0,1,0,2,2,1,2,1,1,2,1,1,3,3,1,2,2
"pfam00082",2,5,5,3,2,2,3,3,4,6,2,6,3,2,4,4,4,5,3,4,2,3,4,2,6,5,2,1,2,4,3,2,3
"pfam00083",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,1,0,2,1,0,0,2
"pfam00085",2,2,3,5,2,4,2,3,2,3,4,1,2,3,1,2,3,2,2,4,6,1,5,3,3,2,4,4,3,1,3,2,3
"pfam00089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00091",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1
"pfam00092",1,3,4,0,3,0,0,0,0,2,4,1,0,0,0,1,1,1,3,3,0,2,3,0,2,4,2,1,2,1,5,1,0
"pfam00094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"pfam00101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00106",8,3,6,2,6,6,3,3,6,2,3,4,4,2,4,8,6,2,2,7,9,5,3,7,5,9,7,5,9,6,4,6,4
"pfam00107",1,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,2,0,0,0,4,0,1,1,1
"pfam00108",1,2,2,1,3,1,1,2,1,3,2,2,1,0,2,2,0,1,0,3,2,1,3,2,3,3,1,1,5,3,1,2,3
"pfam00109",1,2,3,2,2,2,1,1,1,2,1,1,1,1,2,1,0,1,1,7,1,1,2,1,2,1,2,1,1,0,1,2,2
"pfam00111",3,3,3,1,2,0,0,0,0,3,0,2,3,3,3,2,2,1,1,1,1,0,3,3,4,4,2,3,6,2,1,0,0
"pfam00112",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"pfam00113",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"pfam00114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00115",0,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,3,1,1,1,1,2,1,0,1,1,1,2,2
"pfam00116",1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1
"pfam00117",2,4,5,6,2,5,4,5,4,6,2,4,4,2,4,4,4,6,2,3,5,3,5,5,2,8,4,2,8,3,3,3,8
"pfam00118",0,1,1,1,0,1,1,1,1,1,0,1,2,0,2,1,0,0,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1
"pfam00119",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2
"pfam00120",2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1,0,1,1,1,2,3
"pfam00121",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,2,2,2,0,2
"pfam00122",1,4,1,4,3,3,3,1,1,2,0,2,1,2,0,1,1,1,1,2,3,2,1,3,1,2,4,0,2,1,0,2,1
"pfam00124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00126",3,1,1,1,1,0,1,1,0,2,1,2,1,1,0,0,1,0,0,2,1,1,1,0,2,2,1,1,1,0,0,0,1
"pfam00127",0,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"pfam00128",1,0,5,2,2,2,3,4,5,4,0,7,3,4,5,4,4,0,0,0,6,0,5,2,0,0,4,2,9,5,0,4,9
"pfam00132",5,5,10,5,6,5,4,7,6,12,5,10,4,2,7,7,6,5,5,12,5,4,10,5,10,9,9,5,8,7,5,6,4
"pfam00133",1,4,3,2,1,2,3,1,2,3,4,3,4,3,3,2,1,2,1,1,2,1,3,3,2,3,2,5,4,2,2,1,3
"pfam00135",1,1,1,1,0,0,1,2,1,0,0,2,2,0,0,1,0,1,0,2,0,1,0,1,0,2,0,0,0,0,1,1,2
"pfam00136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00137",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2
"pfam00139",0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00140",1,2,2,1,2,1,0,0,3,1,1,1,1,1,2,1,2,3,1,2,1,0,1,1,3,2,2,0,2,2,1,1,2
"pfam00141",1,1,1,1,0,2,1,0,1,2,1,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,1,0,1,1
"pfam00142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00144",1,1,6,5,9,3,5,4,8,6,3,5,3,1,0,4,8,2,6,5,14,2,5,9,5,6,12,2,16,7,3,5,6
"pfam00145",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0
"pfam00146",1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,3,1,0,2,0,1,2,1,0,1,1,3,2
"pfam00148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00149",7,4,5,6,4,3,5,1,3,3,4,3,3,2,1,4,5,3,2,3,8,5,6,5,2,5,5,1,5,5,3,4,6
"pfam00150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
"pfam00152",3,3,2,2,3,2,2,3,3,3,2,3,2,2,3,3,1,1,0,3,3,2,2,3,2,3,4,3,3,3,3,2,3
"pfam00154",0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,2,1,2,1,1,1,1,1,1,1,0,1
"pfam00155",5,7,7,8,5,7,4,5,8,5,4,6,3,3,4,4,4,6,0,5,7,4,7,11,4,8,11,1,8,8,4,4,6
"pfam00156",2,6,5,6,2,5,3,4,4,5,3,5,2,2,3,4,4,5,4,4,7,3,4,4,3,4,4,4,6,4,6,3,7
"pfam00158",1,3,2,1,2,0,1,1,3,3,2,2,2,1,3,2,1,4,2,2,3,1,1,3,2,1,6,3,7,1,2,2,2
"pfam00160",2,3,5,1,2,1,0,3,1,3,0,3,3,0,0,2,2,1,0,1,1,0,4,3,1,1,1,0,3,1,3,2,1
"pfam00162",0,2,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1
"pfam00163",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"pfam00164",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,2,0,1,1,0,1,1,1,1,1,1,1,1
"pfam00165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00166",0,1,1,1,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,1,2,1,1,1,0,1,0,1,2,1,2,1,1
"pfam00171",5,6,2,7,4,3,3,5,6,5,3,4,3,3,4,5,3,5,0,6,8,1,4,7,7,7,4,5,8,7,4,6,6
"pfam00173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"pfam00174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00175",1,4,2,1,3,3,1,0,1,2,1,1,1,1,2,1,0,1,1,1,1,0,2,2,4,3,2,2,2,2,1,0,1
"pfam00176",1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,2,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1
"pfam00177",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1
"pfam00179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00180",0,2,0,3,3,2,4,1,2,2,1,2,0,0,0,1,1,1,0,4,4,1,0,2,0,2,2,0,2,2,1,2,4
"pfam00181",0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
"pfam00182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00183",0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,2,1,1,1,1
"pfam00185",1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,2,0,1,2,0,2,0,1,1,2
"pfam00186",1,1,1,1,0,1,1,1,1,0,2,0,1,0,0,1,1,2,0,1,0,0,1,1,1,1,1,0,1,1,2,1,1
"pfam00188",0,0,0,1,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1
"pfam00189",0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
"pfam00190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00194",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"pfam00195",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0
"pfam00196",1,11,2,6,5,6,5,3,3,5,0,5,0,0,0,2,1,3,0,2,8,2,6,2,0,5,3,0,7,9,0,4,8
"pfam00198",1,2,3,4,3,2,2,4,4,3,5,3,2,1,2,1,2,3,1,2,3,0,3,3,2,3,2,2,2,3,3,2,3
"pfam00199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"pfam00202",6,6,4,4,3,3,2,4,2,6,1,4,3,3,2,1,4,3,1,2,3,1,2,3,2,5,3,2,5,2,2,3,3
"pfam00203",0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
"pfam00204",1,2,3,3,2,2,1,2,2,1,1,2,2,1,2,2,1,0,0,3,2,1,2,2,3,2,1,1,1,2,2,2,2
"pfam00205",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
"pfam00206",2,2,1,3,3,4,3,1,2,2,2,1,3,2,1,2,2,1,1,1,3,2,3,3,1,2,2,0,3,3,2,3,3
"pfam00207",0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,2,1,1,1,1,1,2,0,1,0,0,1,0
"pfam00208",0,3,3,1,1,0,1,4,2,3,4,4,2,3,3,4,1,2,2,1,0,1,3,1,1,2,1,1,4,1,3,3,1
"pfam00209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
"pfam00210",1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,2,0,2,1,1,0,0,0,1,0,0
"pfam00211",1,6,0,0,3,0,0,1,0,0,0,4,0,0,0,2,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"pfam00213",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2
"pfam00215",0,1,0,1,1,1,0,1,1,1,0,1,1,2,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1
"pfam00216",1,2,2,3,2,1,2,3,1,2,2,2,1,1,1,2,1,0,2,3,2,1,2,3,1,1,2,2,1,3,3,1,2
"pfam00217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00218",1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
"pfam00221",0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,3,0,1,1,0,0,1,0,0,1,1,1,1,0
"pfam00223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00224",1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,2,0,1,1,1,2,2
"pfam00226",1,6,1,2,3,1,1,3,2,1,3,3,2,2,0,2,1,3,2,1,2,1,2,2,3,2,1,1,2,3,2,1,3
"pfam00227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00230",1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,2,1,0,0,0
"pfam00231",1,0,1,0,1,1,1,2,1,2,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1
"pfam00232",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0
"pfam00233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00237",0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
"pfam00238",0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
"pfam00239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"pfam00240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pfam00245",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"pfam00246",1,1,4,1,3,0,0,0,1,0,0,1,2,1,0,1,4,1,0,1,2,1,5,6,0,1,1,2,2,3,0,1,3
"pfam00248",2,1,3,3,2,1,2,1,1,2,0,1,1,1,0,0,3,2,0,1,1,0,2,1,0,3,3,0,4,1,0,0,2
"pfam00251",1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0
