Level1,Level2,Level3,Level4,Level5,Level6,Level7
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Flavin Biosynthesis,flavin biosynthesis II (archaea),,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Flavin Biosynthesis,flavin biosynthesis III (fungi),,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Flavin Biosynthesis,flavin biosynthesis IV (mammalian),,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis,6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,Folate Transformations,folate transformations I,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,Folate Transformations,folate transformations II,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,4-aminobenzoate biosynthesis,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,folate polyglutamylation,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,glutamate removal from folates,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,N10-formyl-tetrahydrofolate biosynthesis,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,superpathway of tetrahydrofolate biosynthesis,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,superpathway of tetrahydrofolate biosynthesis and salvage,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,tetrahydrofolate biosynthesis,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Folate Biosynthesis,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Pantothenate Biosynthesis,phosphopantothenate biosynthesis I,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Pantothenate Biosynthesis,phosphopantothenate biosynthesis II,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Pantothenate Biosynthesis,phosphopantothenate biosynthesis III,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Diphosphate Biosynthesis,thiamine diphosphate biosynthesis I (E. coli),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Diphosphate Biosynthesis,thiamine diphosphate biosynthesis II (Bacillus),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Diphosphate Biosynthesis,thiamine diphosphate biosynthesis III (Staphylococcus),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Diphosphate Biosynthesis,thiamine diphosphate biosynthesis IV (eukaryotes),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Salvage,base-degraded thiamine salvage,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Salvage,hydroxymethylpyrimidine salvage,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Salvage,thiamine salvage I,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Salvage,thiamine salvage II,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Salvage,thiamine salvage III,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiamine Salvage,thiamine salvage IV (yeast),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiazole Biosynthesis,thiazole biosynthesis I (facultative anaerobic bacteria),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiazole Biosynthesis,thiazole biosynthesis II (aerobic bacteria),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,Thiazole Biosynthesis,thiazole biosynthesis III (eukaryotes),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,superpathway of thiamine diphosphate biosynthesis I,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,superpathway of thiamine diphosphate biosynthesis II,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,superpathway of thiamine diphosphate biosynthesis III (eukaryotes),,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,thiamine formation from pyrithiamine and oxythiamine (yeast),,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Thiamine Biosynthesis,thiamine triphosphate metabolism,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,Visual Cycles,11-cis-3-hydroxyretinal biosynthesis,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,Visual Cycles,the visual cycle (insects),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,Visual Cycles,the visual cycle I (vertebrates),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,Visual Cycles,the visual cycle II (molluscs),
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,retinoate biosynthesis I,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,retinoate biosynthesis II,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin A Biosynthesis,retinol biosynthesis,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin B6 Biosynthesis,pyridoxal 5'-phosphate biosynthesis I,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin B6 Biosynthesis,pyridoxal 5'-phosphate biosynthesis II,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin B6 Biosynthesis,pyridoxal 5'-phosphate salvage I,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin B6 Biosynthesis,pyridoxal 5'-phosphate salvage II (plants),,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,Vitamin B6 Biosynthesis,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,"dehydro-D-arabinono-1,4-lactone biosynthesis",,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,pantothenate and coenzyme A biosynthesis I,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,phylloquinol biosynthesis,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,vitamin D3 biosynthesis,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,vitamin E biosynthesis (tocopherols),,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",Vitamins Biosynthesis,vitamin E biosynthesis (tocotrienols),,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",3-amino-3-phenylpropanoyl-CoA biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",acyl carrier protein activation,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",acyl carrier protein metabolism,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",bis(guanylyl molybdenum cofactor) biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",citrate lyase activation,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",coenzyme B biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",coenzyme B/coenzyme M regeneration,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",cytidylyl molybdenum cofactor biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",factor 420 biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",factor 420 polyglutamylation,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",factor 430 biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",FeMo cofactor biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",guanylyl molybdenum cofactor biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",malonate decarboxylase activation,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",methanofuran biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",mevalonate pathway II (archaea),,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",mevalonate pathway III (archaea),,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",phycocyanobilin biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",phycoerythrobilin biosynthesis I,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",phycoerythrobilin biosynthesis II,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",phycourobilin biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",phycoviolobilin biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",phytochromobilin biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",pyrroloquinoline quinone biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",S-adenosyl-L-methionine biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",tetrahydromethanopterin biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",tetrahydromonapterin biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",thio-molybdenum cofactor biosynthesis,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",vitamin B6 degradation,,,,
Biosynthesis,"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis",[2Fe-2S] iron-sulfur cluster biosynthesis,,,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Choline Biosynthesis,choline biosynthesis I,,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Choline Biosynthesis,choline biosynthesis II,,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Choline Biosynthesis,choline biosynthesis III,,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Cyclopropane Fatty Acids Biosynthesis,,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Cyclopropane Fatty Acids Biosynthesis,cyclopropane fatty acid (CFA) biosynthesis,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Cyclopropane Fatty Acids Biosynthesis,sterculate biosynthesis,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Epoxylated Fatty Acids Biosynthesis,Vernolate Biosynthesis,vernolate biosynthesis I,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Epoxylated Fatty Acids Biosynthesis,Vernolate Biosynthesis,vernolate biosynthesis II,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Epoxylated Fatty Acids Biosynthesis,Vernolate Biosynthesis,vernolate biosynthesis III,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Hydroxylated Fatty Acids Biosynthesis,hydroxylated fatty acid biosynthesis (plants),,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Hydroxylated Fatty Acids Biosynthesis,poly-hydroxy fatty acids biosynthesis,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Palmitate Biosynthesis,palmitate biosynthesis I (animals and fungi),,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Palmitate Biosynthesis,palmitate biosynthesis II (bacteria and plants),,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Stearate Biosynthesis,stearate biosynthesis I (animals and fungi),,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Stearate Biosynthesis,stearate biosynthesis II (bacteria and plants),,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Stearate Biosynthesis,stearate biosynthesis III (fungi),,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,alpha-Linolenate Biosynthesis,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,alpha-Linolenate Biosynthesis,alpha-linolenate biosynthesis I (plants and red algae),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,alpha-Linolenate Biosynthesis,alpha-linolenate biosynthesis II (cyanobacteria),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acids Containing acetylenic bond Biosynthesis,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acids Containing acetylenic bond Biosynthesis,5-hexynoate biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acids Containing acetylenic bond Biosynthesis,crepenynate biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acids Containing acetylenic bond Biosynthesis,dicranin biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,gamma-Linolenate Biosynthesis,,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,gamma-Linolenate Biosynthesis,gamma-linolenate biosynthesis I (plants),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,gamma-Linolenate Biosynthesis,gamma-linolenate biosynthesis II (animals),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,gamma-Linolenate Biosynthesis,gamma-linolenate biosynthesis III (cyanobacteria),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Linoleate Biosynthesis,linoleate biosynthesis I (plants),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Linoleate Biosynthesis,linoleate biosynthesis II (animals),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Linoleate Biosynthesis,linoleate biosynthesis III (cyanobacteria),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Oleate Biosynthesis,oleate biosynthesis I (plants),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Oleate Biosynthesis,oleate biosynthesis II (animals and fungi),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Oleate Biosynthesis,oleate biosynthesis III (cyanobacteria),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Oleate Biosynthesis,oleate biosynthesis IV (anaerobic),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Palmitoleate Biosynthesis,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Palmitoleate Biosynthesis,palmitoleate biosynthesis II (plants and bacteria),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Palmitoleate Biosynthesis,palmitoleate biosynthesis III (cyanobacteria),
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Arachidonate Biosynthesis,"arachidonate biosynthesis I (6-desaturase, lower eukaryotes)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Arachidonate Biosynthesis,arachidonate biosynthesis II (bacteria)
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Arachidonate Biosynthesis,"arachidonate biosynthesis III (6-desaturase, mammals)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Arachidonate Biosynthesis,"arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Arachidonate Biosynthesis,"arachidonate biosynthesis V (8-detaturase, mammals)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Conjugated Fatty Acid Biosynthesis,"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Conjugated Fatty Acid Biosynthesis,alpha-eleostearate biosynthesis
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Conjugated Fatty Acid Biosynthesis,calendate biosynthesis
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Conjugated Fatty Acid Biosynthesis,dimorphecolate biosynthesis
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Conjugated Fatty Acid Biosynthesis,punicate biosynthesis
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Docosahexaenoate Biosynthesis,docosahexaenoate biosynthesis I (lower eukaryotes)
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Docosahexaenoate Biosynthesis,docosahexaenoate biosynthesis II (bacteria)
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Docosahexaenoate Biosynthesis,"docosahexaenoate biosynthesis III (6-desaturase, mammals)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Docosahexaenoate Biosynthesis,"docosahexaenoate biosynthesis IV (4-desaturase, mammals)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Icosapentaenoate Biosynthesis,icosapentaenoate biosynthesis I (lower eukaryotes)
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Icosapentaenoate Biosynthesis,"icosapentaenoate biosynthesis II (6-desaturase, mammals)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Icosapentaenoate Biosynthesis,"icosapentaenoate biosynthesis III (8-desaturase, mammals)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Icosapentaenoate Biosynthesis,icosapentaenoate biosynthesis III (fungi)
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Icosapentaenoate Biosynthesis,icosapentaenoate biosynthesis IV (bacteria)
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,Icosapentaenoate Biosynthesis,"icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)"
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)",
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)",
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,crepenynate biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,dicranin biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,juniperonate biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,pinolenate and coniferonate biosynthesis,
Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis,Unsaturated Fatty Acid Biosynthesis,Polyunsaturated Fatty Acid Biosynthesis,sciadonate biosynthesis,
